date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:18	165548/165548	---MCZ	200	added ('OK')	x-font/ttf	date:Thu,%2028%20Jul%202022%2014:13:36%20GMT	https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
12:45:18	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2028%20Jul%202022%2014:13:36%20GMT	https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
12:45:18	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont3e6e.eot	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/font-awesome.min.css?ver=6.1.1)
12:45:19	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont.eot?	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfontd41d.eot	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/font-awesome.min.css?ver=6.1.1)
12:45:19	77160/77160	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont3e6e.woff2	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/font-awesome.min.css?ver=6.1.1)
12:45:19	98024/98024	---M--	200	added ('OK')	x-font/woff	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont3e6e.woff	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/font-awesome.min.css?ver=6.1.1)
12:45:19	165548/165548	---MCZ	200	added ('OK')	x-font/ttf	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont3e6e.ttf	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/font-awesome.min.css?ver=6.1.1)
12:45:19	3941/3941	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/img/arrow_left.png	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/img/arrow_left.png	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/theme.css?ver=6.1.1)
12:45:20	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/fontawesome-webfont3e6e.svg	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/font-awesome.min.css?ver=6.1.1)
12:45:20	3880/3880	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/img/arrow_right.png	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/img/arrow_right.png	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/theme.css?ver=6.1.1)
